10/10/2021 Sunday 12:00:23 | INFO | problem-compile.log | request /submit-compile-bank-problem | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:00:24 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 12 10 2 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/HLmYBwAHy0/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/HLmYBwAHy0/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:16 | INFO | problem-compile.log | request /submit-compile-bank-problem | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:17 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 20 13 3 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/dSGjtH7zEu/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/dSGjtH7zEu/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:17 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 12 10 2 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/P4bPZO0uLF/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/P4bPZO0uLF/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:17 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 34 20 10 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/Ak0iEaoSYi/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/Ak0iEaoSYi/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:17 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 20 13 3 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/yU7CsL2IIx/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/yU7CsL2IIx/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:17 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 19 87 65 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/LRG3z7hrUO/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/LRG3z7hrUO/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:17 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 34 20 10 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/NNX0uFDrg7/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/NNX0uFDrg7/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 12:01:17 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 50 30 21 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/r0pylQ3UWm/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/r0pylQ3UWm/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
